Metric,Value
Analysis Period Start,2022-07-04
Analysis Period End,2025-06-23
Total Weeks,156
Model R2,0.4143
Model MAPE (%),18.66
Top Channel (Contribution),Facebook
Top Channel Contribution (%),42.43
Lowest Channel (Contribution),YouTube
Lowest Channel Contribution (%),7.48
Highest ROI Channel,TV
Highest ROI Value (x),0.0000
Lowest ROI Channel,YouTube
Lowest ROI Value (x),0.0000
Most Saturated Channel,Instagram
Best Geography,Northeast
Best Geography Sales ($M),72.82
Best Brand,Brand Alpha
Best Brand Sales ($M),127.97
