Date,Actual_Sales,Predicted_Sales
2024-11-18,3584484.773217804,3522085.085352665
2024-11-25,3771828.8596165874,3241171.45815049
2024-12-02,3546645.246292883,3016653.689576963
2024-12-09,4796115.491750438,2912474.1254923344
2024-12-16,3057979.1438207203,2915119.6184769026
2024-12-23,2647350.379503976,2981846.56751825
2024-12-30,2529616.8144860165,3089491.0015948573
2025-01-06,3270921.2884533736,3226194.317260728
2025-01-13,2708323.272622087,3352232.745432171
2025-01-20,3470787.8040522747,3399716.411746644
2025-01-27,2946700.7782519376,3327566.1235027863
2025-02-03,2795036.590687107,3168351.64778674
2025-02-10,2752783.1176468963,3004107.963649099
2025-02-17,2819870.663022071,2893068.3624385907
2025-02-24,3027755.7793060085,2831275.1777854767
2025-03-03,2557436.8443195983,2790458.3187625697
2025-03-10,2514671.5639566733,2777432.11895982
2025-03-17,2747493.6840743884,2832971.589507163
2025-03-24,2634868.5131177274,2967579.18797403
2025-03-31,2779304.285860808,3118899.843046982
2025-04-07,2973195.544414233,3197102.3328098003
2025-04-14,2887386.1252641203,3177074.6310100863
2025-04-21,3509957.2352832304,3131121.185159126
2025-04-28,3032792.8737769295,3157530.114984868
2025-05-05,3763293.116580341,3279422.417934301
2025-05-12,3895544.376480426,3423310.6053648805
2025-05-19,3132769.058875946,3496154.275534065
2025-05-26,3507482.2979457662,3471470.034691168
2025-06-02,3111086.5692329486,3394742.009632232
2025-06-09,2665784.5092951613,3318728.4013517676
2025-06-16,3191389.9021409326,3255195.9029106707
2025-06-23,3357677.1606239155,3194537.4548550895
