Date,Sales_Value,TV_Impressions,YouTube_Impressions,Facebook_Impressions,Instagram_Impressions,Trade_Spend,Feature_Flag,Display_Flag,TPR_Flag
2022-07-04,1010974.732421875,50218056.046875,24821675.0078125,13507192.293,6315054.201171875,1026000.7646484375,0,0,0
2022-07-11,1330987.9331054688,48943502.234375,23521233.6796875,11819952.805,5886242.013671875,5129494.875,1,0,0
2022-07-18,1563270.519165039,48648661.203125,21778460.5234375,13363357.247,5692027.841796875,6188054.34375,1,0,0
2022-07-25,1315034.4194335938,49762614.5,24922068.515625,14061575.895,6390571.314453125,743607.03515625,0,0,0
2022-08-01,1344600.2744140625,51358142.859375,24380887.9296875,13485328.302000001,6224710.388671875,781718.8095703125,0,0,0
2022-08-08,1375798.2084960938,46961759.546875,22599394.32421875,11744487.026,5694327.5673828125,698358.1640625,0,0,0
2022-08-15,1207446.62890625,50829788.8125,22337190.8359375,10165962.126,5484034.361328125,889360.1455078125,0,0,0
2022-08-22,1542130.9792480469,51864664.984375,22124167.1015625,12774940.255,5702327.416015625,4839198.64453125,0,1,0
2022-08-29,1129675.7531738281,49925742.078125,22369012.78125,12067714.812,5680574.0625,1117272.1025390625,0,0,0
2022-09-05,1579233.9157714844,128060109.5703125,23806494.3203125,37980077.660000004,8894991.208984375,5569831.96875,1,0,0
2022-09-12,1461282.6965332031,124858874.03125,24072006.328125,31573129.854000002,8142675.31640625,873344.1708984375,0,0,0
2022-09-19,1450426.994140625,123102742.046875,21380652.35546875,32020073.59,7870215.919921875,961348.5703125,0,0,0
2022-09-26,2402076.073852539,126615619.4375,22178095.7734375,35351049.455,8087713.87109375,12802014.685546875,1,1,1
2022-10-03,1688530.911743164,127765417.2265625,23619984.3671875,36917757.51,8763622.0234375,1322949.9287109375,0,0,0
2022-10-10,2024618.5872802734,125983965.7265625,21349248.77734375,34290609.434,8031459.5,4998179.56640625,1,0,0
2022-10-17,2268377.922729492,124154023.3359375,22090055.5703125,34061691.804,8222863.09765625,5366147.66015625,1,0,0
2022-10-24,2221231.271850586,123623443.9375,19819016.64453125,33332062.546,7590637.390625,5544434.3203125,1,0,0
2022-10-31,2124698.9165039062,124933988.359375,24188151.859375,30596844.243,8071934.041015625,5178190.32421875,1,0,0
2022-11-07,1866993.7075195312,123081695.4765625,23020262.0234375,34663260.54,8409696.40625,897567.22265625,0,0,0
2022-11-14,2073505.9904785156,123804840.5390625,21779472.9765625,35899434.206,8310491.65625,5464774.96875,1,0,0
2022-11-21,2125768.525024414,126820367.8046875,23553566.0234375,30995468.894,8024967.5078125,5530853.35546875,1,0,0
2022-11-28,1584188.892578125,128460593.8203125,24570307.515625,34781293.58,8598646.185546875,1189211.291015625,0,0,0
2022-12-05,1565907.262084961,48287425.9921875,59853386.12109375,14507427.835,13537587.6640625,520283.091796875,0,0,0
2022-12-12,1539315.7060546875,48926526.03125,59521978.484375,12698603.888,13259833.970703125,4959286.400390625,0,1,0
