feature,coefficient,abs_coefficient
Net_Price,171.2813024072581,171.2813024072581
Promotion_Score_rolling_mean_4,-77.80503356801097,77.80503356801097
Promotion_Score,50.179440322655395,50.179440322655395
Sales_Units,45.194802495580966,45.194802495580966
Promotion_Score_rolling_mean_12,-29.48941160873706,29.48941160873706
CPI,27.501968679342735,27.501968679342735
MRP,26.114946008601592,26.114946008601592
Promotion_Score_lag_2,25.002848284118095,25.002848284118095
Promotion_Score_lag_1,23.32606494064239,23.32606494064239
Promotion_Score_rolling_std_4,16.259821050834496,16.259821050834496
TPR_Flag,-12.74804278567942,12.74804278567942
Display_Flag,8.566979405302531,8.566979405302531
TDP,-7.860242523001165,7.860242523001165
IG_Banner_Content_Score,-5.949735251569658,5.949735251569658
NOS,5.758756548958228,5.758756548958228
Rainfall_Index,5.733519243506505,5.733519243506505
Feature_Flag,5.677142115593214,5.677142115593214
Promotion_Score_rolling_std_12,4.935584722771643,4.935584722771643
FB_Banner_Content_Score,4.708851300417934,4.708851300417934
Festival_Index,2.2464368659477287,2.2464368659477287
Sales_Value_rolling_mean_4,0.8606872078101304,0.8606872078101304
GDP_Growth,0.7328407970023401,0.7328407970023401
Numeric_Distribution,0.5791846178241034,0.5791846178241034
Sales_Value_lag_2,-0.21777112890325867,0.21777112890325867
Sales_Value_lag_1,-0.20292065681854088,0.20292065681854088
Promotion_Score_lag_4,0.07340338062858709,0.07340338062858709
Sales_Value_rolling_std_4,0.06300551565411894,0.06300551565411894
Weighted_Distribution,0.05234590987052399,0.05234590987052399
Sales_Value_rolling_std_12,-0.046320596444743956,0.046320596444743956
Trade_Spend_rolling_mean_4,-0.02512510841683735,0.02512510841683735
Trade_Spend,-0.019413124945528312,0.019413124945528312
Trade_Spend_rolling_mean_12,0.01864138051735864,0.01864138051735864
Sales_Value_lag_4,-0.016395288353828974,0.016395288353828974
Trade_Spend_rolling_std_12,-0.009163662872892608,0.009163662872892608
Trade_Spend_rolling_std_4,-0.0075255234519957526,0.0075255234519957526
Total_Media_Exposure_rolling_mean_4,-0.003398985850207481,0.003398985850207481
Trade_Spend_lag_2,0.003161324868755866,0.003161324868755866
Sales_Value_rolling_mean_12,-0.002645562587570538,0.002645562587570538
Trade_Spend_lag_1,0.002489683643645435,0.002489683643645435
Total_Media_Exposure_rolling_std_12,0.0016425589697917076,0.0016425589697917076
Trade_Spend_lag_4,-0.0015613820293260972,0.0015613820293260972
Total_Media_Exposure_lag_2,0.0013929262374228202,0.0013929262374228202
Facebook_Impressions,0.0012242259789997864,0.0012242259789997864
Total_Media_Exposure_lag_1,0.0010870911074625234,0.0010870911074625234
YouTube_Impressions,-0.0010754549406046393,0.0010754549406046393
Total_Media_Exposure_rolling_std_4,-0.000993281681626712,0.000993281681626712
Print_Readership,0.0006290499164895678,0.0006290499164895678
Instagram_Impressions,-0.0005465930491540816,0.0005465930491540816
Radio_Listenership,0.0004708611066571826,0.0004708611066571826
Total_Media_Exposure,0.00040186277125559,0.00040186277125559
Total_Media_Exposure_rolling_mean_12,-0.0003158298766612333,0.0003158298766612333
TV_Impressions,-0.000300229238690608,0.000300229238690608
Trade_Spend_x_Promotion_Score,0.0001917835594307249,0.0001917835594307249
Total_Media_Exposure_lag_4,4.435352789755598e-05,4.435352789755598e-05
Total_Media_Exposure_x_Promotion_Score,3.3576012654634724e-06,3.3576012654634724e-06
TV_Impressions_x_YouTube_Impressions,2.0575936510169868e-09,2.0575936510169868e-09
Trade_Spend_x_Total_Media_Exposure,1.3387335684456048e-09,1.3387335684456048e-09
